AthleteName,AthleteFirstName,AthleteLastName,Date,RaceEventDistance,RaceEventSwimmingStyleName,PhaseName,RaceEventIsRelay,RaceEventIsMixed,RaceEventName,PoolLength,RaceId,PhaseNumber,Lane,RelayLeg,FinishingPosition,RaceEventId,RaceEventSwimmingStyleId,AthleteId,AthleteGenderId,AthleteGenderName,AthleteNationId,AthleteNationCode,AthleteNationName,CompetitionId,CompetitionName,PhaseId,SessionId,SessionCode,AnalysisLevelId,AnalysisLevelName,RaceTime,Split_0_50_m,Split_50_100_m,StartBlockElapsedTime,StartBreakoutDistance,StartBreakoutTime,Lap1_15mElapsedTime,StartKicks,Turn_5mIn_s,Turn1RotateTime,Turn1_15m_s,Turn1BreakoutDistance,Turn1BreakoutTime,Turn1_Total_s,Last5m_s,SR_15_25m_T,SR_15_25m_SR,SR_15_25m_DPS,SR_15_25m_V,SR_15_25m_N,SR_25_50m_T,SR_25_50m_SR,SR_25_50m_DPS,SR_25_50m_V,SR_25_50m_N,SR_65_75m_T,SR_65_75m_SR,SR_65_75m_DPS,SR_65_75m_V,SR_65_75m_N,SR_75_100m_T,SR_75_100m_SR,SR_75_100m_DPS,SR_75_100m_V,SR_75_100m_N
Grieve,Grieve,,27/06/2026,50,Butterfly,Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,26.93,6.62,5.74,0.68,13.4,5.66,6.62,,,,,,,,2.85,,,,,,5.74,64.9,1.61,1.74,,,,,,,,,,,
Scott,Scott,,27/06/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.21000000000001,25.43,27.89,,,,,,,,,,,,,,44.5,,,,,40.6,,,28.0,,40.3,,,,,38.7,,,30.0
McGill,McGill,,27/06/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,62.89,31.03,31.86,,,,,,,,,,,,,,46.1,,,,,46.0,,,36.0,,45.6,,,,,45.5,,,39.0
Evans,Evans,,27/06/2026,200,Breaststroke,Heat,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,146.35,33.46,35.83,,,,,,,,,,,,,,31.0,,,,,31.1,,,14.0,,32.9,,,,,32.8,,,16.0
Shanahan,Shanahan,,27/06/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,134.41,29.26,33.73,,,,,,,,,,,,,,51.8,,,,,50.2,,,20.0,,36.1,,,,,34.7,,,32.0
Scott,Scott,,27/06/2026,200,Freestyle,Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,107.71000000000001,25.16,27.25,0.72,13.2,4.82,5.82,,2.88,1.16,7.24,8.0,3.3,10.12,2.57,5.36,46.6,2.41,1.87,,13.98,43.7,2.47,1.8,29.0,5.78,42.8,2.43,1.73,,14.23,42.0,2.51,1.76,32.0
Shanahan,Shanahan,,27/06/2026,200,IM,Final,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,132.49,28.67,33.02,0.76,11.8,5.0,7.02,,2.99,0.85,9.51,11.1,6.81,12.5,3.09,6.04,54.1,1.84,1.66,,15.61,51.8,1.83,1.58,21.0,6.7,38.2,2.34,1.49,,16.81,38.1,2.33,1.48,33.0
Smith,Smith,,27/06/2026,200,Breaststroke,Final,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,132.69,30.65,33.11,0.7,15.6,7.2,6.76,,3.23,0.47,9.05,11.2,6.43,12.28,3.55,6.84,36.0,2.43,1.46,,17.05,34.6,2.51,1.45,14.0,6.92,36.8,2.36,1.45,,17.14,36.4,2.41,1.46,16.0
Evans,Evans,,27/06/2026,200,Breaststroke,Final,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,143.27,32.91,35.67,0.72,13.1,6.5,7.86,,3.23,0.69,10.59,9.7,6.27,13.82,3.47,7.08,33.7,2.51,1.41,,17.97,32.0,2.55,1.36,14.0,7.18,32.9,2.53,1.39,,17.9,33.6,2.48,1.39,17.0
MacInnes,MacInnes,,27/06/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,27.34,,,,,,,,,,,,,,,,65.2,,,,,64.4,,,,,,,,,,,,,
MacInnes,MacInnes,,27/06/2026,50,Butterfly,Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,26.63,6.66,5.56,0.68,12.3,5.22,6.66,,,,,,,,2.91,,,,,,5.56,66.0,1.64,1.8,,,,,,,,,,,
Scott,Scott,,26/06/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,120.55,25.63,30.03,,,,,,,,,,,,,,49.5,,,,,47.5,,,17.0,,39.3,,,,,36.0,,,29.0
Scott,Scott,,26/06/2026,200,IM,Final,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,116.69,25.3,29.15,0.7,12.7,4.44,5.84,,2.88,0.62,7.74,13.2,6.66,10.62,2.55,5.4,52.8,2.1,1.85,,14.06,50.2,2.14,1.79,17.0,6.08,43.4,2.27,1.64,,15.33,39.7,2.42,1.6,30.0
Davis,Davis,,26/06/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,55.31,28.56,26.75,,,,,,,,,,,,,,49.4,,,,,47.8,,,33.0,,48.3,,,,,46.5,,,39.0
Hope,Hope,,26/06/2026,100,Freestyle,Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,56.49,28.99,27.5,0.68,11.8,4.66,7.06,,4.75,2.87,6.45,8.3,1.81,11.2,2.89,5.56,52.6,2.05,1.8,,16.37,49.0,2.11,1.72,36.0,5.9,48.3,2.1,1.69,,15.15,47.4,2.06,1.63,41.0
Scott,Scott,,26/06/2026,200,Butterfly,Heat,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,121.89,27.03,31.07,,,,,,,,,,,,,,44.3,,,,,41.8,,,15.0,,40.3,,,,,40.6,,,17.0
MacInnes,MacInnes,,26/06/2026,200,Butterfly,Final,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,127.04,28.67,32.02,0.66,11.5,4.6,6.96,,3.13,0.59,9.21,6.6,3.73,12.34,3.28,6.18,55.7,1.75,1.62,,15.53,55.8,1.73,1.61,22.0,6.48,56.1,1.65,1.54,,16.33,56.0,1.64,1.53,26.0
Scott,Scott,,26/06/2026,200,Butterfly,Final,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,116.53999999999999,26.16,29.37,0.68,12.9,4.74,6.08,,2.78,0.62,8.56,9.8,5.56,11.34,3.0,5.54,50.8,2.14,1.81,,14.54,46.8,2.18,1.7,17.0,5.92,46.3,2.19,1.69,,14.89,46.6,2.18,1.69,19.0
MacInnes,MacInnes,,26/06/2026,200,Butterfly,Heat,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,131.46,29.83,32.96,,,,,,,,,,,,,,52.3,,,,,54.6,,,22.0,,54.9,,,,,56.2,,,27.0
Evans,Evans,,26/06/2026,100,Breaststroke,Heat,False,False,100 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,66.21,31.44,34.77,,,,,,,,,,,,,,38.9,,,,,41.1,,,17.0,,38.8,,,,,37.8,,,19.0
Davis,Davis,,26/06/2026,100,Freestyle,Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,55.14,26.62,28.52,0.74,12.7,5.16,6.6,,3.12,1.48,7.66,8.7,3.84,10.78,2.84,5.56,49.7,2.17,1.8,,14.46,48.6,2.17,1.76,33.0,5.84,49.5,2.07,1.71,,15.02,46.6,2.11,1.64,39.0
Evans,Evans,,26/06/2026,100,Breaststroke,Final,False,False,100 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,64.98,30.82,34.16,0.7,13.1,6.18,7.52,,3.08,0.84,9.96,9.6,6.18,13.04,3.32,6.66,42.2,2.13,1.5,,16.64,42.3,2.09,1.47,17.5,6.92,42.9,2.03,1.45,,17.28,44.6,1.92,1.43,21.0
Scott,Scott,,31/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,49.5,23.96,25.54,0.7,12.92,4.8,5.8,,2.68,1.44,6.96,9.8,4.44,9.64,2.48,5.14,49.4,2.37,1.95,,13.02,50.1,2.31,1.93,30.0,5.22,49.6,2.32,1.92,,13.36,48.3,2.29,1.84,34.0
McNair,McNair,,31/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,64.52,31.38,33.14,0.6,12.84,6.5,7.96,,3.84,1.2,8.92,10.6,5.7,12.76,3.16,6.48,45.0,2.05,1.54,,16.94,42.3,2.17,1.53,34.0,6.9,38.8,2.24,1.45,,17.32,37.8,2.24,1.41,35.0
Annis,Annis,,31/05/2026,400,Freestyle,B-Final,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,238.93,27.56,29.63,,,,,,,,,,,,,,37.4,,,26.0,,,,,,,35.8,,,31.0,,,,,
Hope,Hope,,31/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,123.55,28.33,30.34,0.7,11.0,4.7,6.98,,3.47,1.43,8.23,5.48,2.51,11.7,3.19,5.86,46.2,2.22,1.71,,15.49,43.5,2.29,1.66,33.0,6.0,43.6,2.3,1.67,,16.11,42.7,2.22,1.58,38.0
Dean,Dean,,31/05/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,124.35,26.96,32.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annis,Annis,,31/05/2026,400,Freestyle,Heat,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,237.21,27.45,29.08,0.7,13.96,5.8,6.48,,3.19,1.49,7.95,5.72,2.29,11.14,3.03,20.97,37.9,2.68,1.69,26.0,,,,,,21.13,36.8,2.72,1.67,31.0,,,,,
Grieve,Grieve,,31/05/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.41,28.14,31.27,0.7,13.4,5.82,6.84,,3.08,0.48,8.62,10.2,5.58,11.7,3.35,6.04,57.8,1.72,1.66,,15.26,59.8,1.65,1.64,22.0,6.22,58.2,1.66,1.61,,16.43,60.4,1.52,1.53,26.0
Grieve,Grieve,,31/05/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.06,27.82,31.24,0.7,13.32,5.8,6.76,,3.08,0.56,8.64,10.2,5.88,11.72,3.14,5.94,60.2,1.67,1.68,,15.12,60.6,1.64,1.66,22.0,6.28,58.4,1.63,1.59,,16.32,59.1,1.54,1.52,25.0
Fearn,Fearn,,31/05/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,Scott,,31/05/2026,200,Butterfly,Final,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,120.05,26.53,29.83,0.7,12.92,4.96,6.06,,3.03,0.57,8.57,10.28,5.59,11.6,3.13,5.8,47.3,2.18,1.72,,14.67,45.1,2.29,1.72,16.0,6.0,45.3,2.21,1.67,,15.26,46.5,2.14,1.66,19.0
Scott,Scott,,31/05/2026,200,Butterfly,Heat,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,118.69,26.48,29.4,0.7,13.08,5.1,6.12,,3.0,0.54,8.42,9.56,5.38,11.42,2.95,5.74,45.0,2.32,1.74,,14.62,45.8,2.25,1.72,16.0,5.92,46.2,2.19,1.69,,15.06,46.3,2.15,1.66,19.0
