AthleteName,AthleteFirstName,AthleteLastName,Date,RaceEventDistance,RaceEventSwimmingStyleName,PhaseName,RaceEventIsRelay,RaceEventIsMixed,RaceEventName,PoolLength,RaceId,PhaseNumber,Lane,RelayLeg,FinishingPosition,RaceEventId,RaceEventSwimmingStyleId,AthleteId,AthleteGenderId,AthleteGenderName,AthleteNationId,AthleteNationCode,AthleteNationName,CompetitionId,CompetitionName,PhaseId,SessionId,SessionCode,AnalysisLevelId,AnalysisLevelName,RaceTime,Split_0_50_m,Split_50_100_m,StartBlockElapsedTime,StartBreakoutDistance,StartBreakoutTime,Lap1_15mElapsedTime,StartKicks,Turn_5mIn_s,Turn1RotateTime,Turn1_15m_s,Turn1BreakoutDistance,Turn1BreakoutTime,Turn1_Total_s,Last5m_s,SR_15_25m_T,SR_15_25m_SR,SR_15_25m_DPS,SR_15_25m_V,SR_15_25m_N,SR_25_50m_T,SR_25_50m_SR,SR_25_50m_DPS,SR_25_50m_V,SR_25_50m_N,SR_65_75m_T,SR_65_75m_SR,SR_65_75m_DPS,SR_65_75m_V,SR_65_75m_N,SR_75_100m_T,SR_75_100m_SR,SR_75_100m_DPS,SR_75_100m_V,SR_75_100m_N
McGill,McGill,,30/05/2026,200,Backstroke,Final,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,131.26,31.7,32.59,0.6,11.96,6.02,8.16,,3.88,1.16,8.72,8.12,4.18,12.6,3.58,6.6,44.6,2.04,1.52,,16.94,41.7,2.2,1.53,35.0,6.66,42.1,2.14,1.5,,17.21,40.6,2.19,1.48,37.0
Dean,Dean,,25/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.92,25.37,27.99,,,,,,,,,,,,,,41.0,,,,,39.6,,,26.0,,37.6,,,,,37.6,,,28.0
Fearn,Fearn,,25/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,55.75,27.1,28.65,,,,,,,,,,,,,,48.6,,,,,46.5,,,31.0,,46.3,,,,,46.8,,,35.0
Grieve,Grieve,,25/05/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.46,28.04,31.42,0.66,13.7,5.84,6.64,,2.84,0.74,8.56,10.3,5.88,11.4,3.0,6.06,58.8,1.68,1.65,,15.34,58.6,1.64,1.6,22.0,6.62,57.5,1.58,1.51,,16.24,58.6,1.55,1.51,25.0
Shanahan,Shanahan,,25/05/2026,200,Backstroke,Final,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,131.45,30.69,32.97,0.72,13.7,6.82,7.68,,3.61,1.21,8.63,9.8,5.29,12.24,3.29,6.32,41.8,2.27,1.58,,16.69,39.3,2.34,1.53,31.0,6.7,39.1,2.29,1.49,,17.64,38.0,2.27,1.44,34.0
Fearn,Fearn,,25/05/2026,50,Butterfly,Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,23.72,5.82,5.06,0.64,13.8,5.16,5.82,,,,,,,,2.46,,,,,,5.06,65.2,1.82,1.98,,,,,,,,,,,
Annis,Annis,,25/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,113.08,26.67,28.92,,,,,,,,,,,,,,39.7,,,,,37.0,,,27.0,,35.6,,,,,37.0,,,30.0
Davis,Davis,,25/05/2026,4 x 100,Freestyle Relay,Final,True,False,4 x 100 m Freestyle Relay,50,,,,,,,,,,,,,,,,,,,,,55.01,26.65,28.36,0.68,12.7,5.32,6.56,,3.25,1.45,7.79,7.3,3.45,11.04,2.67,5.58,50.3,2.14,1.79,,14.51,48.7,2.19,1.78,33.0,5.84,48.5,2.12,1.71,,14.73,46.9,2.12,1.66,39.0
Annis,Annis,,25/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,55.58,27.37,28.21,,,,,,,,,,,,,,47.3,,,,,45.9,,,32.0,,46.6,,,,,46.1,,,34.0
Smith,Smith,,25/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.66,25.91,27.8,,,,,,,,,,,,,,44.6,,,,,43.1,,,28.0,,42.4,,,,,41.4,,,33.0
Evans,Evans,,25/05/2026,50,Breaststroke,Final,False,False,50 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,30.77,7.9,6.5,0.7,12.9,6.2,7.9,,,,,,,,3.01,,48.4,,,,6.5,45.4,2.04,1.54,,,,,,,,,,,
Davis,Davis,,25/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,55.34,26.79,28.55,,,,,,,,,,,,,,50.6,,,,,47.4,,,33.0,,48.8,,,,,47.2,,,38.0
Anderson,Anderson,,25/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,55.11,26.34,28.77,0.72,13.3,5.6,6.58,,3.1,1.46,7.84,6.4,2.78,10.94,2.81,5.54,46.0,2.36,1.81,,14.22,46.0,2.35,1.8,30.0,5.88,42.9,2.38,1.7,,15.05,42.6,2.3,1.63,37.0
McGill,McGill,,25/05/2026,200,Backstroke,Final,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,132.25,31.33,32.58,0.66,13.4,7.02,8.16,,3.41,1.25,8.71,8.4,4.21,12.12,3.49,6.48,43.6,2.12,1.54,,16.69,41.8,2.17,1.51,34.0,6.68,42.5,2.12,1.5,,17.19,41.2,2.16,1.48,38.0
Anderson,Anderson,,25/05/2026,100,Freestyle,Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,54.91,26.73,28.18,0.76,12.5,5.34,6.64,,3.03,1.49,7.69,6.5,2.77,10.72,2.75,5.7,43.8,2.4,1.75,,14.39,44.9,2.35,1.76,30.0,5.78,43.4,2.39,1.73,,14.71,43.9,2.28,1.67,37.0
Shanahan,Shanahan,,25/05/2026,200,Backstroke,Heat,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,131.27,31.09,32.72,,,,,,,,,,,,,,40.4,,,,,38.1,,,30.0,,37.5,,,,,37.8,,,32.0
Evans,Evans,,25/05/2026,50,Breaststroke,Heat,False,False,50 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,31.0,7.98,,,,,,,,,,,,,,,49.2,,,,,44.8,,,,,,,,,,,,,
MacInnes,MacInnes,,25/05/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,58.91,27.62,31.29,0.64,13.2,5.66,6.68,,2.98,0.72,9.14,7.9,4.72,12.12,3.03,5.96,60.6,1.66,1.68,,14.98,60.0,1.67,1.67,22.0,6.26,61.0,1.57,1.6,,15.89,60.2,1.55,1.56,27.0
Fearn,Fearn,,25/05/2026,100,Backstroke,Final,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,55.51,27.26,28.25,0.64,14.0,6.04,6.6,,3.18,1.48,7.5,13.0,6.2,10.68,2.69,5.68,49.0,2.16,1.76,,14.98,45.6,2.22,1.69,31.0,5.94,47.3,2.13,1.68,,14.81,47.1,2.1,1.65,34.0
Annis,Annis,,25/05/2026,100,Backstroke,Final,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,55.51,27.39,28.12,0.62,14.1,5.94,6.5,,3.35,1.39,7.23,12.9,5.97,10.58,2.87,5.8,46.9,2.2,1.72,,15.09,45.4,2.25,1.7,31.0,5.86,48.9,2.1,1.71,,15.03,47.5,2.07,1.64,34.0
Grieve,Grieve,,25/05/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.7,28.16,31.54,0.66,13.6,5.76,6.52,,3.14,0.72,8.8,10.2,5.82,11.94,3.14,6.18,61.0,1.59,1.62,,15.46,61.0,1.59,1.62,22.0,6.38,59.0,1.6,1.57,,16.36,59.3,1.53,1.51,25.0
McGill,McGill,,25/05/2026,200,Backstroke,Heat,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,132.46,31.68,32.72,,,,,,,,,,,,,,42.2,,,,,40.7,,,34.0,,41.4,,,,,40.5,,,37.0
Fearn,Fearn,,25/05/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,24.06,,,,,,,,,,,,,,,,65.2,,,,,65.5,,,,,,,,,,,,,
Hope,Hope,,25/05/2026,100,Freestyle,B-Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,56.68,27.19,29.49,,,,,,,,,,,,,,54.9,,,,,50.3,,,36.0,,49.8,,,,,47.6,,,42.0
Davis,Davis,,25/05/2026,100,Freestyle,Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,54.67,26.43,28.24,0.7,12.9,5.32,6.52,,3.13,1.43,7.71,7.5,3.47,10.84,2.75,5.54,51.2,2.12,1.81,,14.37,49.1,2.18,1.78,33.0,5.82,49.8,2.07,1.72,,14.71,48.2,2.08,1.67,40.0
Dean,Dean,,25/05/2026,200,Freestyle,B-Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,109.37,25.3,27.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean,Dean,,25/05/2026,4 x 100,Medley Relay,Final,True,False,4 x 100 m Medley Relay,50,,,,,,,,,,,,,,,,,,,,,49.29,23.53,25.76,0.16,13.3,4.46,5.24,,2.83,1.05,6.91,9.4,4.17,9.74,2.33,5.12,46.4,2.52,1.95,,13.17,47.4,2.44,1.93,28.0,5.42,44.6,2.49,1.85,,13.43,43.1,2.51,1.8,31.0
MacInnes,MacInnes,,25/05/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,58.91,27.73,31.18,,,,,,,,,,,,,,61.2,,,,,60.3,,,22.0,,59.7,,,,,60.3,,,26.0
Smith,Smith,,25/05/2026,200,Freestyle,B-Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.21000000000001,25.57,27.87,0.68,13.4,5.26,6.18,,2.91,1.05,7.45,7.3,2.93,10.36,2.75,5.34,45.9,2.44,1.87,,14.05,43.9,2.46,1.8,29.0,5.66,42.9,2.48,1.77,,14.76,42.1,2.47,1.73,34.0
Hope,Hope,,25/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,56.11,27.16,28.95,,,,,,,,,,,,,,51.3,,,,,48.3,,,35.0,,50.3,,,,,46.7,,,41.0
McMillan,McMillan,,24/05/2026,4 x 200,Freestyle Mixed Relay,Final,True,True,4 x 200 m Freestyle Mixed Relay,50,,,,,,,,,,,,,,,,,,,,,108.19,25.52,27.68,0.66,12.5,4.68,6.0,,2.82,1.68,7.28,7.7,2.96,10.1,2.57,5.56,41.1,2.63,1.8,,13.96,40.1,2.69,1.8,26.0,5.88,37.2,2.74,1.7,,14.52,37.1,2.78,1.72,30.0
Davis,Davis,,24/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,122.96,28.67,30.89,,,,,,,,,,,,,,44.1,,,,,41.2,,,30.0,,39.0,,,,,40.5,,,35.0
McMillan,McMillan,,24/05/2026,400,Freestyle,Final,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,229.68,26.29,28.52,0.74,12.4,4.76,6.22,,2.85,1.33,7.67,6.4,2.47,10.52,2.6,20.07,37.8,2.76,1.74,26.0,,,,,,20.85,34.9,2.91,1.69,29.0,,,,,
McGill,McGill,,24/05/2026,100,Backstroke,Final,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,62.38,30.58,31.8,0.66,13.2,6.72,7.96,,3.5,1.14,8.56,8.7,4.44,12.06,3.12,6.32,46.2,2.05,1.58,,16.3,45.5,2.06,1.56,35.0,6.58,47.1,1.94,1.52,,16.66,45.3,1.96,1.48,41.0
Dean,Dean,,24/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,49.92,24.41,25.51,0.74,13.6,5.18,5.88,,2.79,1.07,7.01,9.5,4.19,9.8,2.38,5.22,45.2,2.55,1.92,,13.31,43.1,2.65,1.9,27.0,5.22,44.9,2.57,1.92,,13.28,45.6,2.41,1.83,32.0
Annis,Annis,,24/05/2026,400,Freestyle,Heat,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,238.94,27.39,29.56,,,,,,,,,,,,,,36.5,,,26.0,,,,,,,35.2,,,29.0,,,,,
Hope,Hope,,24/05/2026,200,Freestyle,B-Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,122.57,28.65,30.94,0.7,11.2,4.72,6.98,,3.35,1.83,8.33,5.8,2.43,11.68,2.99,5.94,43.8,2.3,1.68,,15.73,42.3,2.3,1.62,32.0,6.18,42.2,2.3,1.62,,16.43,40.2,2.33,1.56,38.0
Dean,Dean,,24/05/2026,200,IM,Final,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,121.95,25.78,31.62,0.7,13.5,5.12,5.9,,2.68,0.82,8.64,11.3,6.22,11.32,2.47,5.62,52.6,2.03,1.78,,14.26,50.0,2.08,1.73,17.0,6.54,38.4,2.39,1.53,,16.44,36.8,2.43,1.49,31.0
Smith,Smith,,24/05/2026,100,Breaststroke,Heat,False,False,100 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,62.35,29.84,32.51,,,,,,,,,,,,,,42.4,,,,,43.3,,,16.0,,45.6,,,,,47.9,,,20.0
Dean,Dean,,24/05/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,122.9,26.37,31.22,0.66,13.6,5.08,5.9,,2.85,0.65,8.27,11.6,6.13,11.12,2.66,5.84,51.0,2.01,1.71,,14.63,47.8,2.13,1.7,17.0,6.52,38.3,2.4,1.53,,16.43,35.4,2.51,1.48,30.0
Smith,Smith,,24/05/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,123.59,26.34,32.51,,,,,,,,,,,,,,53.8,,,,,52.4,,,19.0,,41.3,,,,,40.0,,,34.0
Dean,Dean,,24/05/2026,100,Freestyle,Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,50.05,24.34,25.71,0.7,13.6,5.1,5.8,,2.86,1.14,7.0,8.6,3.62,9.86,2.43,5.22,46.0,2.5,1.92,,13.32,43.1,2.66,1.91,27.0,5.34,44.2,2.54,1.87,,13.37,43.2,2.54,1.83,32.0
Shanahan,Shanahan,,24/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,62.11,30.44,31.67,,,,,,,,,,,,,,43.0,,,,,41.8,,,31.0,,42.2,,,,,42.4,,,36.0
Shanahan,Shanahan,,24/05/2026,100,Backstroke,Final,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,61.6,29.91,31.69,0.74,14.0,7.02,7.66,,3.49,1.53,8.51,11.3,5.77,12.0,3.14,6.18,46.1,2.11,1.62,,16.07,44.0,2.17,1.59,32.0,6.62,43.2,2.1,1.51,,16.56,43.2,2.07,1.49,37.0
Anderson,Anderson,,24/05/2026,200,Freestyle,Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,118.11,27.75,29.79,0.7,,5.22,6.66,,3.31,2.01,8.01,6.1,2.65,11.32,2.85,5.92,38.9,2.61,1.69,,15.17,40.3,2.52,1.69,28.0,6.04,38.9,2.56,1.66,,15.74,38.6,2.47,1.59,33.0
Davis,Davis,,24/05/2026,200,Freestyle,B-Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,122.35,28.17,30.53,0.7,13.0,5.7,6.84,,3.29,1.77,8.31,6.9,3.25,11.6,2.97,5.92,46.0,2.2,1.69,,15.41,42.1,2.35,1.65,30.0,6.36,41.1,2.29,1.57,,15.86,41.5,2.33,1.61,36.0
Hope,Hope,,24/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,122.33,28.99,30.78,,,,,,,,,,,,,,43.6,,,,,40.6,,,32.0,,41.6,,,,,41.4,,,38.0
Evans,Evans,,24/05/2026,100,Breaststroke,Final,False,False,100 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,65.13,30.61,34.52,0.7,13.3,6.34,7.6,,2.93,0.69,9.81,9.0,5.75,12.74,3.29,6.54,44.1,2.08,1.53,,16.47,44.8,1.98,1.48,18.0,7.02,43.2,1.97,1.42,,17.69,45.7,1.82,1.39,22.0
MacInnes,MacInnes,,24/05/2026,50,Butterfly,Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,26.57,6.52,5.58,0.64,14.5,6.3,6.52,,,,,,,,2.73,,,,,,5.58,65.6,1.64,1.79,,,,,,,,,,,
Fearn,Fearn,,24/05/2026,100,Freestyle,C-Final,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,51.14,24.8,26.34,,,,,,,,,,,,,,49.8,,,,,47.1,,,30.0,,46.8,,,,,45.8,,,34.0
Evans,Evans,,24/05/2026,100,Breaststroke,Heat,False,False,100 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,66.85,31.2,35.65,,,,,,,,,,,,,,42.8,,,,,43.8,,,18.0,,37.0,,,,,37.5,,,19.0
Smith,Smith,,24/05/2026,200,IM,Final,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,123.77,26.88,32.1,0.72,13.3,5.34,6.12,,2.98,0.58,8.34,13.7,7.42,11.32,2.75,5.7,53.6,1.96,1.75,,15.06,51.6,1.93,1.66,18.0,6.66,41.2,2.18,1.5,,17.1,39.4,2.18,1.43,32.0
Anderson,Anderson,,24/05/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,118.84,27.75,30.26,0.74,12.7,5.26,6.58,,3.33,1.57,8.15,6.2,2.67,11.48,2.9,5.82,39.8,2.59,1.72,,15.35,37.3,2.67,1.66,27.0,6.12,36.8,2.66,1.63,,15.99,36.6,2.59,1.58,32.0
McGill,McGill,,24/05/2026,100,Backstroke,Heat,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,62.61,30.92,31.69,,,,,,,,,,,,,,45.6,,,,,44.5,,,35.0,,46.2,,,,,46.1,,,40.0
Jones,Jones,,24/05/2026,200,IM,Heat,False,False,200 m IM,50,,,,,,,,,,,,,,,,,,,,,121.87,25.56,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacInnes,MacInnes,,24/05/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,26.87,,,,,,,,,,,,,,,,63.8,,,,,65.5,,,,,,,,,,,,,
Jones,Jones,,24/05/2026,4 x 200,Freestyle Mixed Relay,Final,True,True,4 x 200 m Freestyle Mixed Relay,50,,,,,,,,,,,,,,,,,,,,,108.21000000000001,25.09,27.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMillan,McMillan,,24/05/2026,400,Freestyle,Heat,False,False,400 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,230.91,26.6,29.05,,,,,,,,,,,,,,35.8,,,25.0,,,,,,,32.1,,,28.0,,,,,
Fearn,Fearn,,24/05/2026,100,Freestyle,Heat,False,False,100 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,51.29,24.62,26.67,,,,,,,,,,,,,,49.8,,,,,47.2,,,29.0,,45.9,,,,,45.5,,,35.0
MacInnes,MacInnes,,23/05/2026,200,Butterfly,Final,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,127.1,28.76,32.81,0.66,12.9,5.54,6.76,,3.16,0.76,9.74,7.3,4.4,12.9,3.06,6.2,56.7,1.7,1.61,,15.8,55.0,1.72,1.58,22.0,6.76,54.7,1.62,1.48,,16.31,56.5,1.62,1.53,26.0
Davis,Davis,,23/05/2026,50,Freestyle,Heat,False,False,50 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,25.87,6.62,,,,,,,,,,,,,,,49.2,,,,,52.6,,,,,,,,,,,,,
Anderson,Anderson,,23/05/2026,50,Freestyle,Heat,False,False,50 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,25.34,6.28,5.4,0.68,12.3,4.88,6.28,,,,,,,,2.54,,,,,,5.4,49.4,2.25,1.85,,,,,,,,,,,
Jones,Jones,,23/05/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,52.49,24.44,28.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annis,Annis,,23/05/2026,400,IM,Final,False,False,400 m IM,50,,,,,,,,,,,,,,,,,,,,,265.2,27.91,31.8,,,,,,,,,,,,,,48.6,,,17.0,,,,,,,46.8,,,20.0,,,,,
Smith,Smith,,23/05/2026,400,IM,Heat,False,False,400 m IM,50,,,,,,,,,,,,,,,,,,,,,267.49,27.95,30.74,,,,,,,,,,,,,,49.7,,,18.0,,,,,,,49.0,,,21.0,,,,,
Davis,Davis,,23/05/2026,4 x 100,Medley Relay,Final,True,False,4 x 100 m Medley Relay,50,,,,,,,,,,,,,,,,,,,,,54.49,26.02,28.47,0.36,13.3,5.32,6.3,,3.2,1.36,7.82,8.6,4.06,11.02,2.79,5.42,52.4,2.12,1.85,,14.3,51.1,2.11,1.8,33.0,5.78,51.3,2.02,1.73,,14.87,47.7,2.09,1.66,39.0
Evans,Evans,,23/05/2026,200,Breaststroke,Final,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,141.81,31.97,34.94,0.72,13.4,6.58,7.6,,3.23,0.73,10.07,9.3,5.95,13.3,3.69,7.0,35.4,2.42,1.43,,17.37,33.6,2.52,1.41,15.0,7.1,35.2,2.4,1.41,,17.77,37.1,2.23,1.38,18.0
McMillan,McMillan,,23/05/2026,4 x 100,Freestyle Relay,Final,True,False,4 x 100 m Freestyle Relay,50,,,,,,,,,,,,,,,,,,,,,48.71,23.93,24.78,0.64,13.2,4.72,5.68,,2.83,1.09,6.85,10.1,4.63,9.68,2.43,5.2,43.6,2.64,1.92,,13.05,45.6,2.58,1.96,28.0,5.12,44.9,2.61,1.95,,12.81,46.4,2.5,1.93,31.0
Annis,Annis,,23/05/2026,400,IM,Heat,False,False,400 m IM,50,,,,,,,,,,,,,,,,,,,,,269.74,27.83,31.36,,,,,,,,,,,,,,48.1,,,17.0,,,,,,,47.8,,,20.0,,,,,
Fearn,Fearn,,23/05/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,53.56,25.37,28.19,0.66,13.3,5.14,6.0,,2.65,0.69,8.27,12.0,6.49,10.92,2.72,5.44,57.1,1.93,1.84,,13.93,54.4,1.95,1.77,18.0,5.6,55.6,1.93,1.79,,14.32,56.0,1.84,1.72,20.0
Smith,Smith,,23/05/2026,400,IM,Final,False,False,400 m IM,50,,,,,,,,,,,,,,,,,,,,,266.6,27.54,31.52,,,,,,,,,,,,,,48.9,,,18.0,,,,,,,48.3,,,21.0,,,,,
Anderson,Anderson,,23/05/2026,50,Freestyle,Final,False,False,50 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,25.18,6.28,5.36,0.7,12.8,5.14,6.28,,,,,,,,2.44,,,,,,5.36,49.2,2.28,1.87,,,,,,,,,,,
MacInnes,MacInnes,,23/05/2026,200,Butterfly,Heat,False,False,200 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,130.22,29.29,32.87,,,,,,,,,,,,,,55.8,,,,,53.3,,,21.0,,54.4,,,,,55.3,,,26.0
Evans,Evans,,23/05/2026,4 x 100,Medley Relay,Final,True,False,4 x 100 m Medley Relay,50,,,,,,,,,,,,,,,,,,,,,64.81,30.53,34.28,0.3,13.4,6.04,7.2,,3.19,0.81,10.31,9.0,5.83,13.5,3.21,6.74,43.3,2.05,1.48,,16.59,42.6,2.1,1.49,18.0,6.66,44.8,2.01,1.5,,17.31,44.4,1.92,1.42,21.0
Dean,Dean,,23/05/2026,4 x 100,Freestyle Relay,Final,True,False,4 x 100 m Freestyle Relay,50,,,,,,,,,,,,,,,,,,,,,49.36,23.69,25.67,0.33,13.4,4.5,5.3,,2.92,1.12,7.04,9.7,4.21,9.96,2.43,5.13,46.8,2.5,1.95,,13.26,44.7,2.59,1.93,28.0,5.2,45.2,2.55,1.92,,13.43,45.7,2.39,1.82,32.0
Evans,Evans,,23/05/2026,200,Breaststroke,Heat,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,146.55,32.92,36.23,,,,,,,,,,,,,,36.5,,,,,31.2,,,15.0,,33.4,,,,,33.5,,,17.0
Scott,Scott,,23/05/2026,4 x 100,Freestyle Relay,Final,True,False,4 x 100 m Freestyle Relay,50,,,,,,,,,,,,,,,,,,,,,47.85,22.87,24.98,0.38,13.2,4.36,5.2,,2.75,1.27,6.61,11.6,4.55,9.36,2.37,4.88,53.6,2.29,2.05,,12.79,49.0,2.44,1.99,29.0,5.3,51.8,2.19,1.89,,13.07,51.0,2.2,1.87,34.0
Fearn,Fearn,,23/05/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,53.48,25.15,28.33,0.64,13.4,5.2,5.9,,2.49,0.77,8.37,12.3,6.85,10.86,2.84,5.52,57.1,1.9,1.81,,13.73,54.4,1.96,1.78,18.0,5.52,56.4,1.93,1.81,,14.44,56.2,1.84,1.72,20.0
Davies,Davies,,21/05/2026,400,IM Time,Trial,False,False,400 m IM Time,50,,,,,,,,,,,,,,,,,,,,,275.97,29.37,33.73,,,,,,,,,,,,,,41.8,,,16.0,,,,,,,44.3,,,18.0,,,,,
Scott,Scott,,19/04/2026,200,Freestyle,Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,105.44,24.45,26.23,0.66,13.0,4.58,5.6,,2.85,1.33,7.03,9.1,3.81,9.88,2.6,5.32,47.5,2.37,1.88,,13.53,45.9,2.44,1.87,29.0,5.34,46.1,2.43,1.87,,13.86,44.5,2.45,1.82,32.0
McMillan,McMillan,,19/04/2026,200,Freestyle,Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,105.91,24.9,26.69,0.64,13.0,4.74,5.76,,2.9,1.26,7.1,7.7,3.04,10.0,2.73,5.36,40.6,2.76,1.87,,13.78,39.8,2.77,1.84,26.0,5.6,38.1,2.82,1.79,,13.99,38.8,2.8,1.81,30.0
Annis,Annis,,19/04/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,109.77000000000001,25.67,27.8,0.64,14.4,5.6,6.0,,2.99,1.33,7.63,7.2,3.13,10.62,2.69,5.48,43.6,2.5,1.82,,14.19,42.4,2.53,1.79,27.0,5.7,41.0,2.56,1.75,,14.47,40.6,2.57,1.74,32.0
Smith,Smith,,19/04/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,109.25,25.47,27.25,0.66,12.7,4.84,6.04,,2.99,1.25,7.39,6.8,2.87,10.38,2.67,5.34,45.9,2.44,1.87,,14.09,43.4,2.49,1.8,29.0,5.56,44.4,2.43,1.8,,14.3,43.3,2.48,1.79,34.0
Scott,Scott,,19/04/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,107.25999999999999,24.98,26.78,0.66,13.3,4.94,5.84,,2.76,1.54,7.26,9.1,4.02,10.02,2.5,5.4,46.8,2.37,1.85,,13.74,43.7,2.5,1.82,28.0,5.44,44.8,2.46,1.84,,14.08,42.0,2.56,1.79,31.0
